BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
195002,27,1020,195002,27,1020,,10096216,OKLAHOMA,40.0,1950,February,Tornado,C,109,OKLAHOMA,,27-FEB-50 10:20:00,CST,27-FEB-50 10:20:00,0,0,0,0,25K,0,,0.0,,,,F2,2.0,50.0,,,,,0.0,,,0.0,,,35.55,-97.6,,,,,PUB
195003,27,300,195003,27,300,,10096217,OKLAHOMA,40.0,1950,March,Tornado,C,121,PITTSBURG,,27-MAR-50 03:00:00,CST,27-MAR-50 03:00:00,0,0,0,0,2.5K,0,,0.0,,,,F2,0.1,77.0,,,,,0.0,,,0.0,,,34.85,-95.75,,,,,PUB
195004,2,1800,195004,2,1800,,10096218,OKLAHOMA,40.0,1950,April,Tornado,C,81,LINCOLN,,02-APR-50 18:00:00,CST,02-APR-50 18:00:00,0,0,0,0,25K,0,,0.0,,,,F2,1.0,100.0,,,,,0.0,,,0.0,,,35.82,-97.02,,,,,PUB
195004,3,1615,195004,3,1615,,10096219,OKLAHOMA,40.0,1950,April,Tornado,C,143,TULSA,,03-APR-50 16:15:00,CST,03-APR-50 16:15:00,0,0,0,0,2.5K,0,,0.0,,,,F1,1.0,33.0,,,,,0.0,,,0.0,,,36.13,-95.83,,,,,PUB
195004,28,1417,195004,28,1417,,10096220,OKLAHOMA,40.0,1950,April,Tornado,C,75,KIOWA,,28-APR-50 14:17:00,CST,28-APR-50 14:17:00,1,0,1,0,250K,0,,0.0,,,,F3,9.4,400.0,,,,,0.0,,,0.0,,,34.88,-99.28,35.0,-99.2,,,PUB
195004,28,1435,195004,28,1435,,10096221,OKLAHOMA,40.0,1950,April,Tornado,C,75,KIOWA,,28-APR-50 14:35:00,CST,28-APR-50 14:35:00,0,0,0,0,250K,0,,0.0,,,,F3,8.0,400.0,,,,,0.0,,,0.0,,,35.0,-99.2,35.12,-99.2,,,PUB
195004,28,1905,195004,28,1905,,10096223,OKLAHOMA,40.0,1950,April,Tornado,C,63,HUGHES,,28-APR-50 19:05:00,CST,28-APR-50 19:05:00,32,0,5,0,250K,0,,0.0,,,,F4,4.5,200.0,,,,,0.0,,,0.0,,,35.08,-96.4,35.13,-96.35,,,PUB
195004,28,1930,195004,28,1930,,10096224,OKLAHOMA,40.0,1950,April,Tornado,C,29,COAL,,28-APR-50 19:30:00,CST,28-APR-50 19:30:00,0,0,0,0,25K,0,,0.0,,,,F2,0.8,100.0,,,,,0.0,,,0.0,,,34.55,-96.2,,,,,PUB
195005,4,2130,195005,4,2130,,10096225,OKLAHOMA,40.0,1950,May,Tornado,C,39,CUSTER,,04-MAY-50 21:30:00,CST,04-MAY-50 21:30:00,0,0,0,0,2.5K,0,,0.0,,,,F1,0.0,33.0,,,,,0.0,,,0.0,,,35.58,-99.17,,,,,PUB
195005,4,2130,195005,4,2130,,10096226,OKLAHOMA,40.0,1950,May,Tornado,C,9,BECKHAM,,04-MAY-50 21:30:00,CST,04-MAY-50 21:30:00,0,0,0,0,25K,0,,0.0,,,,F2,5.6,293.0,,,,,0.0,,,0.0,,,35.25,-99.55,35.32,-99.5,,,PUB
195005,4,2145,195005,4,2145,,10096227,OKLAHOMA,40.0,1950,May,Tornado,C,153,WOODWARD,,04-MAY-50 21:45:00,CST,04-MAY-50 21:45:00,0,0,0,0,250K,0,,0.0,,,,F2,1.0,100.0,,,,,0.0,,,0.0,,,36.57,-99.57,,,,,PUB
195005,7,1830,195005,7,1830,,10096228,OKLAHOMA,40.0,1950,May,Tornado,C,45,ELLIS,,07-MAY-50 18:30:00,CST,07-MAY-50 18:30:00,0,0,0,0,0K,0,,0.0,,,,F1,0.0,33.0,,,,,0.0,,,0.0,,,36.3,-99.8,,,,,PUB
195005,7,2300,195005,7,2300,,10096229,OKLAHOMA,40.0,1950,May,Tornado,C,119,PAYNE,,07-MAY-50 23:00:00,CST,07-MAY-50 23:00:00,0,0,0,0,2.5K,0,,0.0,,,,F1,0.0,33.0,,,,,0.0,,,0.0,,,36.0,-97.0,,,,,PUB
195005,7,2300,195005,7,2300,,10096230,OKLAHOMA,40.0,1950,May,Tornado,C,73,KINGFISHER,,07-MAY-50 23:00:00,CST,07-MAY-50 23:00:00,3,0,0,0,25K,0,,0.0,,,,F2,4.3,33.0,,,,,0.0,,,0.0,,,36.12,-97.83,36.17,-97.78,,,PUB
195003,27,800,195003,27,800,,10049531,MISSISSIPPI,28.0,1950,March,Tornado,C,121,RANKIN,,27-MAR-50 08:00:00,CST,27-MAR-50 08:00:00,0,0,0,0,250K,0,,0.0,,,,F2,50.3,50.0,,,,,0.0,,,0.0,,,32.3,-90.12,32.98,-89.82,,,PUB
195003,27,805,195003,27,805,,10049532,MISSISSIPPI,28.0,1950,March,Tornado,C,121,RANKIN,,27-MAR-50 08:05:00,CST,27-MAR-50 08:05:00,0,0,0,0,250K,0,,0.0,,,,F2,25.7,50.0,,,,,0.0,,,0.0,,,32.3,-90.17,32.48,-89.78,,,PUB
195003,27,845,195003,27,845,,10049533,MISSISSIPPI,28.0,1950,March,Tornado,C,25,CLAY,,27-MAR-50 08:45:00,CST,27-MAR-50 08:45:00,0,0,0,0,0K,0,,0.0,,,,F2,4.7,33.0,,,,,0.0,,,0.0,,,33.67,-88.78,33.72,-88.73,,,PUB
195003,27,1100,195003,27,1100,,10049534,MISSISSIPPI,28.0,1950,March,Tornado,C,141,TISHOMINGO,,27-MAR-50 11:00:00,CST,27-MAR-50 11:00:00,2,0,0,0,25K,0,,0.0,,,,F1,0.1,10.0,,,,,0.0,,,0.0,,,34.73,-88.27,,,,,PUB
195004,29,1200,195004,29,1200,,10049535,MISSISSIPPI,28.0,1950,April,Tornado,C,91,MARION,,29-APR-50 12:00:00,CST,29-APR-50 12:00:00,0,0,0,0,250K,0,,0.0,,,,F2,11.3,100.0,,,,,0.0,,,0.0,,,31.27,-89.83,31.38,-89.7,,,PUB
195001,26,1800,195001,26,1800,,10120401,TEXAS,48.0,1950,January,Tornado,C,47,BROOKS,,26-JAN-50 18:00:00,CST,26-JAN-50 18:00:00,2,0,0,0,0K,0,,0.0,,,,F2,4.7,133.0,,,,,0.0,,,0.0,,,26.88,-98.12,26.88,-98.05,,,PUB
195002,11,1350,195002,11,1350,,10120403,TEXAS,48.0,1950,February,Tornado,C,201,HARRIS,,11-FEB-50 13:50:00,CST,11-FEB-50 13:50:00,12,0,1,0,25K,0,,0.0,,,,F3,12.0,1000.0,,,,,0.0,,,0.0,,,29.67,-95.05,29.83,-95.0,,,PUB
195002,11,2100,195002,11,2100,,10120404,TEXAS,48.0,1950,February,Tornado,C,423,SMITH,,11-FEB-50 21:00:00,CST,11-FEB-50 21:00:00,5,0,0,0,250K,0,,0.0,,,,F2,4.6,100.0,,,,,0.0,,,0.0,,,32.35,-95.2,32.42,-95.2,,,PUB
195002,11,2355,195002,11,2355,,10120405,TEXAS,48.0,1950,February,Tornado,C,67,CASS,,11-FEB-50 23:55:00,CST,11-FEB-50 23:55:00,6,0,0,0,250K,0,,0.0,,,,F2,4.5,67.0,,,,,0.0,,,0.0,,,32.98,-94.63,33.0,-94.7,,,PUB
195002,12,30,195002,12,30,,10120406,TEXAS,48.0,1950,February,Tornado,C,37,BOWIE,,12-FEB-50 00:30:00,CST,12-FEB-50 00:30:00,8,0,1,0,25K,0,,0.0,,,,F2,8.0,833.0,,,,,0.0,,,0.0,,,33.33,-94.42,33.45,-94.42,,,PUB
195002,12,115,195002,12,115,,10120407,TEXAS,48.0,1950,February,Tornado,C,143,ERATH,,12-FEB-50 01:15:00,CST,12-FEB-50 01:15:00,0,0,0,0,25K,0,,0.0,,,,F1,2.3,233.0,,,,,0.0,,,0.0,,,32.08,-98.35,32.1,-98.33,,,PUB
195002,12,610,195002,12,610,,10120408,TEXAS,48.0,1950,February,Tornado,C,293,LIMESTONE,,12-FEB-50 06:10:00,CST,12-FEB-50 06:10:00,0,0,0,0,25K,0,,0.0,,,,F2,3.4,100.0,,,,,0.0,,,0.0,,,31.52,-96.55,31.57,-96.55,,,PUB
195002,12,1157,195002,12,1157,,10120409,TEXAS,48.0,1950,February,Tornado,C,419,SHELBY,,12-FEB-50 11:57:00,CST,12-FEB-50 11:57:00,32,0,0,0,250K,0,,0.0,,,,F1,7.7,100.0,,,,,0.0,,,0.0,,,31.8,-94.2,31.88,-94.12,,,PUB
195002,12,1200,195002,12,1200,,10120410,TEXAS,48.0,1950,February,Tornado,C,419,SHELBY,,12-FEB-50 12:00:00,CST,12-FEB-50 12:00:00,15,0,3,0,250K,0,,0.0,,,,F3,1.9,50.0,,,,,0.0,,,0.0,,,31.8,-94.2,31.8,-94.18,,,PUB
195004,28,1800,195004,28,1800,,10120411,TEXAS,48.0,1950,April,Tornado,C,59,CALLAHAN,,28-APR-50 18:00:00,CST,28-APR-50 18:00:00,5,0,5,0,250K,0,,0.0,,,,F4,1.3,233.0,,,,,0.0,,,0.0,,,32.42,-99.5,32.42,-99.48,,,PUB
195005,4,2030,195005,4,2030,,10120413,TEXAS,48.0,1950,May,Tornado,C,357,OCHILTREE,,04-MAY-50 20:30:00,CST,04-MAY-50 20:30:00,13,0,1,0,250K,0,,0.0,,,,F2,1.9,50.0,,,,,0.0,,,0.0,,,36.4,-100.8,36.42,-100.77,,,PUB
195005,14,1600,195005,14,1600,,10120414,TEXAS,48.0,1950,May,Tornado,C,157,FORT BEND,,14-MAY-50 16:00:00,CST,14-MAY-50 16:00:00,0,0,0,0,2.5K,0,,0.0,,,,F1,1.0,100.0,,,,,0.0,,,0.0,,,29.53,-95.45,,,,,PUB
195005,15,1,195005,15,1,,10120415,TEXAS,48.0,1950,May,Tornado,C,259,KENDALL,,15-MAY-50 00:01:00,CST,15-MAY-50 00:01:00,0,0,0,0,25K,0,,0.0,,,,F2,18.0,33.0,,,,,0.0,,,0.0,,,29.78,-98.83,29.67,-98.57,,,PUB
195007,11,1700,195007,11,1700,,10080563,NEW MEXICO,35.0,1950,July,Tornado,C,37,QUAY,,11-JUL-50 17:00:00,CST,11-JUL-50 17:00:00,0,0,0,0,.25K,0,,0.0,,,,F1,3.8,500.0,,,,,0.0,,,0.0,,,35.28,-103.52,35.33,-103.48,,,PUB
195008,2,1230,195008,2,1230,,10080564,NEW MEXICO,35.0,1950,August,Tornado,C,53,SOCORRO,,02-AUG-50 12:30:00,CST,02-AUG-50 12:30:00,0,0,0,0,25K,0,,0.0,,,,F1,7.9,100.0,,,,,0.0,,,0.0,,,34.12,-107.23,34.02,-107.3,,,PUB
195005,1,500,195005,1,500,,10050382,MISSISSIPPI,28.0,1950,May,Tornado,C,63,JEFFERSON,,01-MAY-50 05:00:00,CST,01-MAY-50 05:00:00,0,0,0,0,25K,0,,0.0,,,,F1,0.0,33.0,,,,,0.0,,,0.0,,,31.73,-91.07,,,,,PUB
195005,1,900,195005,1,900,,10050383,MISSISSIPPI,28.0,1950,May,Tornado,C,1,ADAMS,,01-MAY-50 09:00:00,CST,01-MAY-50 09:00:00,0,0,0,0,25K,0,,0.0,,,,,0.0,33.0,,,,,0.0,,,0.0,,,31.55,-91.38,,,,,PUB
195006,3,100,195006,3,100,,10050384,MISSISSIPPI,28.0,1950,June,Tornado,C,7,ATTALA,,03-JUN-50 01:00:00,CST,03-JUN-50 01:00:00,1,0,2,0,0K,0,,0.0,,,,F3,2.0,50.0,,,,,0.0,,,0.0,,,33.08,-89.58,,,,,PUB
195002,12,1230,195002,12,1230,,9981923,ARKANSAS,5.0,1950,February,Tornado,C,53,GRANT,,12-FEB-50 12:30:00,CST,12-FEB-50 12:30:00,0,0,0,0,2.5K,0,,0.0,,,,F2,0.0,100.0,,,,,0.0,,,0.0,,,34.48,-92.4,,,,,PUB
195002,12,1500,195002,12,1500,,9981924,ARKANSAS,5.0,1950,February,Tornado,C,139,UNION,,12-FEB-50 15:00:00,CST,12-FEB-50 15:00:00,0,0,0,0,25K,0,,0.0,,,,F2,5.7,100.0,,,,,0.0,,,0.0,,,33.27,-92.95,33.35,-92.95,,,PUB
195003,26,1930,195003,26,1930,,9981925,ARKANSAS,5.0,1950,March,Tornado,C,19,CLARK,,26-MAR-50 19:30:00,CST,26-MAR-50 19:30:00,3,0,0,0,25K,0,,0.0,,,,F2,4.1,150.0,,,,,0.0,,,0.0,,,34.12,-93.07,34.17,-93.03,,,PUB
195001,3,1100,195001,3,1100,,10063615,MISSOURI,29.0,1950,January,Tornado,C,189,ST. LOUIS,,03-JAN-50 11:00:00,CST,03-JAN-50 11:00:00,3,0,0,0,2.5M,0,,0.0,,,,F3,6.2,150.0,,,,,0.0,,,0.0,,,38.77,-90.22,38.82,-90.12,,,PUB
195006,9,1300,195006,9,1300,,10063617,MISSOURI,29.0,1950,June,Tornado,C,169,PULASKI,,09-JUN-50 13:00:00,CST,09-JUN-50 13:00:00,0,0,0,0,2.5K,0,,0.0,,,,F1,2.7,220.0,,,,,0.0,,,0.0,,,38.0,-92.22,38.02,-92.17,,,PUB
195006,15,100,195006,15,100,,10063618,MISSOURI,29.0,1950,June,Tornado,C,205,SHELBY,,15-JUN-50 01:00:00,CST,15-JUN-50 01:00:00,0,0,0,0,2.5K,0,,0.0,,,,F1,0.2,100.0,,,,,0.0,,,0.0,,,39.7,-92.07,,,,,PUB
195007,19,1600,195007,19,1600,,10063619,MISSOURI,29.0,1950,July,Tornado,C,141,MORGAN,,19-JUL-50 16:00:00,CST,19-JUL-50 16:00:00,0,0,0,0,.25K,0,,0.0,,,,F1,1.5,440.0,,,,,0.0,,,0.0,,,38.42,-92.77,,,,,PUB
195003,27,500,195003,27,500,,10049527,MISSISSIPPI,28.0,1950,March,Tornado,C,53,HUMPHREYS,,27-MAR-50 05:00:00,CST,27-MAR-50 05:00:00,2,0,1,0,0K,0,,0.0,,,,F2,0.0,33.0,,,,,0.0,,,0.0,,,33.17,-90.55,,,,,PUB
195003,27,730,195003,27,730,,10049528,MISSISSIPPI,28.0,1950,March,Tornado,C,7,ATTALA,,27-MAR-50 07:30:00,CST,27-MAR-50 07:30:00,0,0,0,0,0K,0,,0.0,,,,F2,11.9,33.0,,,,,0.0,,,0.0,,,33.13,-89.57,33.25,-89.42,,,PUB
195003,27,745,195003,27,745,,10049529,MISSISSIPPI,28.0,1950,March,Tornado,C,49,HINDS,,27-MAR-50 07:45:00,CST,27-MAR-50 07:45:00,7,0,0,0,250K,0,,0.0,,,,F2,9.0,50.0,,,,,0.0,,,0.0,,,32.28,-90.27,32.3,-90.12,,,PUB
195003,27,745,195003,27,745,,10049530,MISSISSIPPI,28.0,1950,March,Tornado,C,49,HINDS,,27-MAR-50 07:45:00,CST,27-MAR-50 07:45:00,6,0,0,0,250K,0,,0.0,,,,F2,6.2,50.0,,,,,0.0,,,0.0,,,32.28,-90.27,32.3,-90.17,,,PUB
195005,9,2020,195005,9,2020,,10096231,OKLAHOMA,40.0,1950,May,Tornado,C,123,PONTOTOC,,09-MAY-50 20:20:00,CST,09-MAY-50 20:20:00,0,0,0,0,25K,0,,0.0,,,,F1,0.8,200.0,,,,,0.0,,,0.0,,,34.77,-96.83,,,,,PUB
195005,11,1830,195005,11,1830,,10096232,OKLAHOMA,40.0,1950,May,Tornado,C,7,BEAVER,,11-MAY-50 18:30:00,CST,11-MAY-50 18:30:00,0,0,0,0,.25K,0,,0.0,,,,F1,0.5,77.0,,,,,0.0,,,0.0,,,36.82,-100.52,,,,,PUB
195005,16,1930,195005,16,1930,,10096233,OKLAHOMA,40.0,1950,May,Tornado,C,43,DEWEY,,16-MAY-50 19:30:00,CST,16-MAY-50 19:30:00,1,0,0,0,2.5K,0,,0.0,,,,F1,7.3,100.0,,,,,0.0,,,0.0,,,35.82,-99.12,35.87,-99.0,,,PUB
195005,22,1239,195005,22,1239,,10096234,OKLAHOMA,40.0,1950,May,Tornado,C,39,CUSTER,,22-MAY-50 12:39:00,CST,22-MAY-50 12:39:00,0,0,0,0,0K,0,,0.0,,,,F1,1.5,100.0,,,,,0.0,,,0.0,,,35.67,-99.23,,,,,PUB
195005,24,2130,195005,24,2130,,10096235,OKLAHOMA,40.0,1950,May,Tornado,C,153,WOODWARD,,24-MAY-50 21:30:00,CST,24-MAY-50 21:30:00,2,0,0,0,25K,0,,0.0,,,,F2,1.0,33.0,,,,,0.0,,,0.0,,,36.45,-99.03,,,,,PUB
195005,29,1448,195005,29,1448,,10096236,OKLAHOMA,40.0,1950,May,Tornado,C,97,MAYES,,29-MAY-50 14:48:00,CST,29-MAY-50 14:48:00,0,0,0,0,.25K,0,,0.0,,,,F1,1.0,33.0,,,,,0.0,,,0.0,,,36.38,-95.27,,,,,PUB
195006,9,1825,195006,9,1825,,10096237,OKLAHOMA,40.0,1950,June,Tornado,C,71,KAY,,09-JUN-50 18:25:00,CST,09-JUN-50 18:25:00,0,0,0,0,2.5K,0,,0.0,,,,F1,0.0,100.0,,,,,0.0,,,0.0,,,36.8,-97.25,,,,,PUB
195002,12,1200,195002,12,1200,,10049524,MISSISSIPPI,28.0,1950,February,Tornado,C,145,UNION,,12-FEB-50 12:00:00,CST,12-FEB-50 12:00:00,0,0,0,0,0K,0,,0.0,,,,F1,2.0,33.0,,,,,0.0,,,0.0,,,34.6,-89.12,,,,,PUB
195002,12,1200,195002,12,1200,,10049525,MISSISSIPPI,28.0,1950,February,Tornado,C,145,UNION,,12-FEB-50 12:00:00,CST,12-FEB-50 12:00:00,2,0,3,0,25K,0,,0.0,,,,F2,0.0,33.0,,,,,0.0,,,0.0,,,34.6,-89.12,,,,,PUB
195003,1,230,195003,1,230,,10049526,MISSISSIPPI,28.0,1950,March,Tornado,C,75,LAUDERDALE,,01-MAR-50 02:30:00,CST,01-MAR-50 02:30:00,0,0,0,0,0K,0,,0.0,,,,F1,0.0,33.0,,,,,0.0,,,0.0,,,32.5,-88.85,,,,,PUB
195005,8,2210,195005,8,2210,,10073782,NEBRASKA,31.0,1950,May,Tornado,C,127,NEMAHA,,08-MAY-50 22:10:00,CST,08-MAY-50 22:10:00,1,0,0,0,25K,0,,0.0,,,,F2,8.8,467.0,,,,,0.0,,,0.0,,,40.38,-95.8,40.28,-95.68,,,PUB
195005,18,1515,195005,18,1515,,10073783,NEBRASKA,31.0,1950,May,Tornado,C,145,RED WILLOW,,18-MAY-50 15:15:00,CST,18-MAY-50 15:15:00,0,0,0,0,25K,0,,0.0,,,,F1,0.7,333.0,,,,,0.0,,,0.0,,,40.22,-100.63,,,,,PUB
195006,13,1730,195006,13,1730,,10073784,NEBRASKA,31.0,1950,June,Tornado,C,107,KNOX,,13-JUN-50 17:30:00,CST,13-JUN-50 17:30:00,101,0,0,0,25K,0,,0.0,,,,F2,4.1,33.0,,,,,0.0,,,0.0,,,42.6,-97.88,42.65,-97.82,,,PUB
195007,15,1730,195007,15,1730,,10073786,NEBRASKA,31.0,1950,July,Tornado,C,21,BURT,,15-JUL-50 17:30:00,CST,15-JUL-50 17:30:00,33,0,0,0,2.5M,0,,0.0,,,,F4,10.0,440.0,,,,,0.0,,,0.0,,,41.8,-96.6,41.73,-96.42,,,PUB
195009,21,1730,195009,21,1730,,10073787,NEBRASKA,31.0,1950,September,Tornado,C,109,LANCASTER,,21-SEP-50 17:30:00,CST,21-SEP-50 17:30:00,0,0,0,0,2.5K,0,,0.0,,,,F1,22.5,67.0,,,,,0.0,,,0.0,,,40.72,-96.82,40.72,-96.38,,,PUB
195007,12,1600,195007,12,1600,,9986148,CONNECTICUT,9.0,1950,July,Tornado,C,7,MIDDLESEX,,12-JUL-50 16:00:00,CST,12-JUL-50 16:00:00,0,0,0,0,2.5K,0,,0.0,,,,F2,10.0,33.0,,,,,0.0,,,0.0,,,41.57,-72.57,,,,,PUB
195011,20,730,195011,20,730,,10047275,MISSISSIPPI,28.0,1950,November,Tornado,C,101,NEWTON,,20-NOV-50 07:30:00,CST,20-NOV-50 07:30:00,3,0,0,0,25K,0,,0.0,,,,F1,2.0,37.0,,,,,0.0,,,0.0,,,32.42,-89.13,,,,,PUB
195008,30,1600,195008,30,1600,,9985758,FLORIDA,12.0,1950,August,Tornado,C,37,FRANKLIN,,30-AUG-50 16:00:00,CST,30-AUG-50 16:00:00,0,0,0,0,25K,0,,0.0,,,,F1,0.5,50.0,,,,,0.0,,,0.0,,,29.73,-84.98,,,,,PUB
195008,31,2,195008,31,2,,9985759,FLORIDA,12.0,1950,August,Tornado,C,63,JACKSON,,31-AUG-50 00:02:00,CST,31-AUG-50 00:02:00,0,0,0,0,2.5K,0,,0.0,,,,,0.0,33.0,,,,,0.0,,,0.0,,,30.8,-85.2,,,,,PUB
195005,12,1700,195005,12,1700,,10077691,NORTH CAROLINA,37.0,1950,May,Tornado,C,183,WAKE,,12-MAY-50 17:00:00,CST,12-MAY-50 17:00:00,0,0,0,0,0K,0,,0.0,,,,F0,1.0,200.0,,,,,0.0,,,0.0,,,35.73,-78.4,,,,,PUB
195005,12,1700,195005,12,1700,,10077692,NORTH CAROLINA,37.0,1950,May,Tornado,C,183,WAKE,,12-MAY-50 17:00:00,CST,12-MAY-50 17:00:00,0,0,0,0,0K,0,,0.0,,,,F1,1.0,200.0,,,,,0.0,,,0.0,,,35.73,-78.4,,,,,PUB
195005,14,1700,195005,14,1700,,10077693,NORTH CAROLINA,37.0,1950,May,Tornado,C,123,MONTGOMERY,,14-MAY-50 17:00:00,CST,14-MAY-50 17:00:00,0,0,0,0,2.5K,0,,0.0,,,,F1,3.8,50.0,,,,,0.0,,,0.0,,,35.3,-79.8,35.33,-79.75,,,PUB
195005,14,1730,195005,14,1730,,10077694,NORTH CAROLINA,37.0,1950,May,Tornado,C,179,UNION,,14-MAY-50 17:30:00,CST,14-MAY-50 17:30:00,5,0,0,0,0K,0,,0.0,,,,F2,2.0,33.0,,,,,0.0,,,0.0,,,35.0,-80.68,,,,,PUB
